recipe_id,recipe_name,ingredients,steps,cuisine,diet_type,calories,protein_g,fat_g,carbs_g,image_url
6872,Spicy Kimchi Fried Rice,"cooked rice, kimchi, gochujang, soy sauce, sesame oil, onion, garlic, egg, scallions, vegetable oil",,Korean,['vegetarian'],450,20,20,50,https://www.recipetineats.com/uploads/2021/03/Kimchi-Fried-Rice-Skillet.jpg
6873,Classic Margherita Pizza,"pizza dough, tomato sauce, fresh mozzarella, basil, olive oil, salt, pepper",,Italian,['vegetarian'],350,5,20,30,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSb510lsAzgF1n_o98uVaUQICrAZhQXOFpCeA&s
6874,Coconut Chickpea Curry,"chickpeas, coconut milk, onion, ginger, garlic, turmeric, cumin, coriander, garam masala, vegetable oil, spinach, rice",,Indian,"['vegan', 'vegetarian', 'gluten-free', 'dairy-free']",480,5,20,50,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTRnJS354b6atz1WFEGDO6pplqxarkVKHgXFg&s
6875,Pad See Ew with Tofu,"wide rice noodles, tofu, chinese broccoli, soy sauce, sweet soy sauce, oyster sauce optional, garlic, egg, vegetable oil",,Thai,['vegetarian'],520,20,20,50,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQkgauWWoOI9ed00w64polf9y5T8GHFejPofw&s
6876,Beef Bourguignon,"beef chuck, red wine, bacon, onion, carrots, celery, mushrooms, beef broth, thyme, bay leaf, olive oil, flour",,French,['nan'],680,20,20,50,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcS78skRSI3K3HFSrCY4DKYnSa-XQXpM6wsz3g&s
6877,Chicken Enchiladas with Green Sauce,"chicken breast, corn tortillas, green salsa, sour cream, cheese, onion, garlic, cilantro, vegetable oil",,Mexican,['nan'],420,20,20,30,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSm3aouZy9NLlxsYUfVuwfbLji08xVQhFMbhw&s
6878,Greek Lemon Herb Chicken and Potatoes,"chicken thighs, potatoes, lemon juice, olive oil, oregano, rosemary, garlic, salt, pepper",,Greek,"['gluten-free', 'dairy-free']",550,20,20,50,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTKTcDOtE_EVEYL_TqPmuP6hidXrOFSYFD3Lg&s
6879,Swedish Meatballs with Cream Sauce,"ground beef, breadcrumbs, milk, egg, onion, butter, allspice, nutmeg, beef broth, heavy cream, parsley",,Swedish,['nan'],620,20,20,50,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQ3xS4vYv6hNf8hQRHuuEXrKYAU5a-7VU_e5w&s
6880,Injera with Misir Wot,"injera flatbread, red lentils, onion, garlic, ginger, berbere spice blend, tomato paste, vegetable oil",,Ethiopian,"['vegan', 'vegetarian', 'gluten-free']",380,20,20,50,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcS-aYZ92RjoYVjKwpTEtM5qRpaKBcvAuTqasQ&s
6881,Jollof Rice with Chicken,"rice, chicken, tomato paste, tomatoes, onion, scotch bonnet pepper, vegetable oil, curry powder, thyme, bay leaf",,Nigerian,['nan'],500,20,20,50,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcRam86cTyDmAuin-gAgkj_p0-GP6VbKhxS1TQ&s
6882,Peruvian Lomo Saltado,"beef sirloin, french fries, onion, tomato, soy sauce, vinegar, aji amarillo paste, cilantro, vegetable oil, rice",,Peruvian,['nan'],580,20,20,50,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSgoE5Lgi9U1h93Md_xodTkSWGSgSoq810HDQ&s
6883,Argentinian Empanadas with Beef,"empanada dough, ground beef, onion, bell pepper, hard-boiled eggs, olives, spices, egg wash",,Argentinian,['nan'],280,20,20,30,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQQgDrxXWg-6eFdbwmAfdr3RrOJco6E1leNoA&s
6884,Australian Lamb Chops with Rosemary and Garlic,"lamb chops, rosemary, garlic, olive oil, salt, pepper",,Australian,"['gluten-free', 'dairy-free']",400,20,20,30,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcS2eMIEoPrSo0EwKh24F2hgzMf_9HXxYgdlAg&s
6885,Hawaiian Poi with Kalua Pig,"taro root for poi, pork shoulder, sea salt",,Polynesian,"['gluten-free', 'dairy-free']",450,20,8,30,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTnmAqZtl4mqbFrTaCaiSnu0L4toplhRM_J8A&s
