recipe_id,calories,protein_g,fat_g,carbs_g,fiber_g,sugar_g,sodium_mg
1,430.0,5.0,20.0,50.0,2.0,2.0,300.0
2,480.0,20.0,20.0,50.0,2.0,2.0,300.0
3,480.0,20.0,20.0,50.0,6.0,2.0,300.0
4,400.0,20.0,20.0,30.0,2.0,2.0,300.0
5,400.0,20.0,20.0,30.0,2.0,2.0,300.0
6,480.0,20.0,20.0,50.0,2.0,2.0,300.0
7,350.0,5.0,20.0,30.0,2.0,2.0,300.0
8,480.0,20.0,20.0,50.0,6.0,2.0,300.0
9,350.0,5.0,20.0,30.0,2.0,2.0,300.0
10,400.0,20.0,20.0,30.0,2.0,2.0,300.0
11,400.0,20.0,20.0,30.0,2.0,2.0,300.0
12,480.0,20.0,20.0,50.0,2.0,2.0,300.0
13,400.0,20.0,20.0,30.0,2.0,2.0,300.0
14,480.0,20.0,20.0,50.0,2.0,17.0,300.0
15,430.0,5.0,20.0,50.0,2.0,2.0,300.0
16,400.0,20.0,20.0,30.0,2.0,2.0,300.0
17,400.0,20.0,20.0,30.0,2.0,2.0,300.0
18,250.0,5.0,8.0,30.0,2.0,2.0,300.0
19,430.0,5.0,20.0,50.0,2.0,2.0,300.0
20,480.0,20.0,20.0,50.0,6.0,2.0,300.0
21,400.0,20.0,20.0,30.0,2.0,2.0,300.0
22,430.0,5.0,20.0,50.0,2.0,2.0,300.0
23,330.0,5.0,8.0,50.0,6.0,2.0,300.0
24,350.0,5.0,20.0,30.0,2.0,2.0,300.0
25,330.0,5.0,8.0,50.0,2.0,17.0,300.0
26,430.0,5.0,20.0,50.0,2.0,2.0,300.0
27,480.0,20.0,20.0,50.0,2.0,17.0,300.0
28,430.0,5.0,20.0,50.0,6.0,2.0,300.0
29,480.0,20.0,20.0,50.0,6.0,17.0,300.0
30,480.0,20.0,20.0,50.0,2.0,17.0,300.0
31,430.0,5.0,20.0,50.0,2.0,17.0,300.0
32,400.0,20.0,20.0,30.0,2.0,2.0,300.0
33,350.0,5.0,20.0,30.0,6.0,2.0,300.0
34,480.0,20.0,20.0,50.0,2.0,2.0,300.0
35,430.0,5.0,20.0,50.0,2.0,17.0,300.0
36,430.0,5.0,20.0,50.0,2.0,17.0,300.0
37,350.0,5.0,20.0,30.0,2.0,2.0,300.0
38,400.0,20.0,20.0,30.0,2.0,2.0,300.0
39,350.0,5.0,20.0,30.0,6.0,2.0,300.0
40,400.0,20.0,20.0,30.0,2.0,2.0,300.0
41,250.0,5.0,8.0,30.0,2.0,2.0,300.0
42,350.0,5.0,20.0,30.0,2.0,2.0,300.0
43,300.0,20.0,8.0,30.0,6.0,2.0,300.0
44,430.0,5.0,20.0,50.0,6.0,2.0,300.0
45,330.0,5.0,8.0,50.0,2.0,2.0,300.0
