Goal,Diet Type,Workout Type,Day,Meal Type,Recipe,Calories (kcal),Protein (g),Carbs (g),Fats (g),Exercise Plan,Instruction,Beauty Goal,Beauty Drink Recommendation,Beauty Food Focus,Beauty Care Instruction,,,url
Weight Maintain,Vegetarian,Home,Day 13,Snack,Dal & Rice,583,33.1,24.9,23,HIIT,Weight Maintain focused training,Glowing Skin,Green tea,Leafy greens,Include antioxidants,,,https://tse2.mm.bing.net/th?q=Dal%20%26%20Rice%20food&w=400&h=400&c=7
Weight Gain,Vegetarian,Home,Day 20,Snack,Quinoa Salad,686,11.5,66.8,9.3,Yoga,Weight Gain focused training,Fresh Blood Circulation,Coconut water,Fruits & vegetables,Drink 2–3L water daily,,,https://tse2.mm.bing.net/th?q=Quinoa%20Salad%20food&w=400&h=400&c=7
Weight Maintain,Vegetarian,Hybrid,Day 30,Dinner,Dal & Rice,531,14,69.9,12.6,HIIT,Weight Maintain focused training,Clear Skin,Beetroot juice,Omega-3 rich foods,Avoid sugar & junk food,,,https://tse2.mm.bing.net/th?q=Dal%20%26%20Rice%20food&w=400&h=400&c=7
Weight Loss,Vegetarian,Hybrid,Day 21,Lunch,Quinoa Salad,357,29.1,55.2,28.6,Yoga,Weight Loss focused training,Glowing Skin,Beetroot juice,Fruits & vegetables,Sleep 7–8 hours,,,https://tse2.mm.bing.net/th?q=Quinoa%20Salad%20food&w=400&h=400&c=7
Weight Maintain,Non-Vegetarian,Hybrid,Day 21,Lunch,Fish Curry,530,30.4,49.8,7.5,Cardio,Weight Maintain focused training,Anti-Aging,Green tea,Citrus fruits,Daily face cleansing,,,https://tse2.mm.bing.net/th?q=Fish%20Curry%20food&w=400&h=400&c=7
Weight Loss,Vegan,Hybrid,Day 21,Snack,Tofu Stir Fry,346,40.6,78.1,15.9,Cardio,Weight Loss focused training,Clear Skin,Green tea,Fruits & vegetables,Include antioxidants,,,https://tse2.mm.bing.net/th?q=Tofu%20Stir%20Fry%20food&w=400&h=400&c=7
Weight Gain,Vegetarian,Hybrid,Day 5,Snack,Oats & Fruits,465,36.7,66.9,24.3,HIIT,Weight Gain focused training,Fresh Blood Circulation,Amla juice,Omega-3 rich foods,Daily face cleansing,,,https://tse2.mm.bing.net/th?q=Oats%20%26%20Fruits%20food&w=400&h=400&c=7
Weight Gain,Vegetarian,Home,Day 3,Snack,Veg Khichdi,460,23.8,57.3,15.8,Stretching,Weight Gain focused training,Anti-Aging,Carrot juice,Fruits & vegetables,Sleep 7–8 hours,,,https://tse2.mm.bing.net/th?q=Veg%20Khichdi%20food&w=400&h=400&c=7
Weight Gain,Vegetarian,Home,Day 29,Lunch,Quinoa Salad,547,36.4,36.9,18.6,Cardio,Weight Gain focused training,Fresh Blood Circulation,Beetroot juice,Fruits & vegetables,Include antioxidants,,,https://tse2.mm.bing.net/th?q=Quinoa%20Salad%20food&w=400&h=400&c=7
Weight Maintain,Vegetarian,Gym,Day 1,Dinner,Dal & Rice,523,21.3,78.3,29.5,Strength Training,Weight Maintain focused training,Reduce Pimples,Coconut water,Leafy greens,Sleep 7–8 hours,,,https://tse2.mm.bing.net/th?q=Dal%20%26%20Rice%20food&w=400&h=400&c=7
Weight Loss,Vegetarian,Home,Day 28,Lunch,Dal & Rice,344,28.7,59.3,27.9,Strength Training,Weight Loss focused training,Reduce Pimples,Green tea,Leafy greens,Regular exercise & sweating,,,https://tse2.mm.bing.net/th?q=Dal%20%26%20Rice%20food&w=400&h=400&c=7
Weight Maintain,Vegan,Gym,Day 3,Snack,Chickpea Salad,281,40.4,83.1,15.4,HIIT,Weight Maintain focused training,Glowing Skin,Green tea,Leafy greens,Include antioxidants,,,https://tse2.mm.bing.net/th?q=Chickpea%20Salad%20food&w=400&h=400&c=7
Weight Gain,Vegetarian,Hybrid,Day 11,Snack,Quinoa Salad,567,35.1,51,18.3,Stretching,Weight Gain focused training,Anti-Aging,Coconut water,Fruits & vegetables,Avoid sugar & junk food,,,https://tse2.mm.bing.net/th?q=Quinoa%20Salad%20food&w=400&h=400&c=7
Weight Gain,Non-Vegetarian,Hybrid,Day 6,Dinner,Chicken Rice,383,35.2,64.4,27.3,HIIT,Weight Gain focused training,Anti-Aging,Carrot juice,Nuts & seeds,Sleep 7–8 hours,,,https://tse2.mm.bing.net/th?q=Chicken%20Rice%20food&w=400&h=400&c=7
Weight Loss,Vegetarian,Hybrid,Day 19,Snack,Quinoa Salad,523,10.1,33.1,21.3,Strength Training,Weight Loss focused training,Fresh Blood Circulation,Coconut water,Leafy greens,Sleep 7–8 hours,,,https://tse2.mm.bing.net/th?q=Quinoa%20Salad%20food&w=400&h=400&c=7
Weight Loss,Vegan,Home,Day 2,Breakfast,Chickpea Salad,482,42.6,37.9,23.3,Yoga,Weight Loss focused training,Hair Growth,Green tea,Fruits & vegetables,Sleep 7–8 hours,,,https://tse2.mm.bing.net/th?q=Chickpea%20Salad%20food&w=400&h=400&c=7
Weight Gain,Vegan,Gym,Day 26,Snack,Tofu Stir Fry,582,18.9,79.2,23.2,Stretching,Weight Gain focused training,Anti-Aging,Carrot juice,Leafy greens,Sleep 7–8 hours,,,https://tse2.mm.bing.net/th?q=Tofu%20Stir%20Fry%20food&w=400&h=400&c=7
Weight Loss,Non-Vegetarian,Hybrid,Day 17,Lunch,Chicken Rice,506,33.9,55.3,26.7,Cardio,Weight Loss focused training,Glowing Skin,Beetroot juice,Citrus fruits,Regular exercise & sweating,,,https://tse2.mm.bing.net/th?q=Chicken%20Rice%20food&w=400&h=400&c=7
Weight Loss,Non-Vegetarian,Home,Day 2,Lunch,Fish Curry,427,12.7,48.5,13.3,Strength Training,Weight Loss focused training,Clear Skin,Turmeric milk,Nuts & seeds,Avoid sugar & junk food,,,https://tse2.mm.bing.net/th?q=Fish%20Curry%20food&w=400&h=400&c=7
Weight Loss,Vegan,Hybrid,Day 12,Snack,Tofu Stir Fry,576,17.8,85.8,12.1,Yoga,Weight Loss focused training,Reduce Pimples,Warm lemon water,Nuts & seeds,Include antioxidants,,,https://tse2.mm.bing.net/th?q=Tofu%20Stir%20Fry%20food&w=400&h=400&c=7
Weight Gain,Vegan,Hybrid,Day 29,Lunch,Chickpea Salad,366,22.7,31,20.4,Cardio,Weight Gain focused training,Reduce Pimples,Carrot juice,Nuts & seeds,Drink 2–3L water daily,,,https://tse2.mm.bing.net/th?q=Chickpea%20Salad%20food&w=400&h=400&c=7
Weight Maintain,Non-Vegetarian,Home,Day 11,Dinner,Grilled Chicken Salad,501,37,81,6.5,HIIT,Weight Maintain focused training,Reduce Pimples,Beetroot juice,Fruits & vegetables,Sleep 7–8 hours,,,https://tse2.mm.bing.net/th?q=Grilled%20Chicken%20Salad%20food&w=400&h=400&c=7
Weight Maintain,Vegan,Hybrid,Day 6,Breakfast,Chickpea Salad,469,23.5,54.2,24.6,HIIT,Weight Maintain focused training,Reduce Pimples,Amla juice,Nuts & seeds,Sleep 7–8 hours,,,https://tse2.mm.bing.net/th?q=Chickpea%20Salad%20food&w=400&h=400&c=7
Weight Loss,Vegetarian,Hybrid,Day 23,Dinner,Quinoa Salad,558,39.2,75.9,6.7,HIIT,Weight Loss focused training,Hair Growth,Warm lemon water,Fruits & vegetables,Avoid sugar & junk food,,,https://tse2.mm.bing.net/th?q=Quinoa%20Salad%20food&w=400&h=400&c=7
Weight Gain,Non-Vegetarian,Hybrid,Day 28,Dinner,Fish Curry,737,23,57,10.9,Strength Training,Weight Gain focused training,Reduce Pimples,Warm lemon water,Nuts & seeds,Daily face cleansing,,,https://tse2.mm.bing.net/th?q=Fish%20Curry%20food&w=400&h=400&c=7
Weight Loss,Non-Vegetarian,Gym,Day 26,Dinner,Grilled Chicken Salad,540,16.8,62.2,22,Strength Training,Weight Loss focused training,Glowing Skin,Carrot juice,Nuts & seeds,Include antioxidants,,,https://tse2.mm.bing.net/th?q=Grilled%20Chicken%20Salad%20food&w=400&h=400&c=7
Weight Gain,Non-Vegetarian,Hybrid,Day 9,Lunch,Fish Curry,722,44.5,83,6.7,Strength Training,Weight Gain focused training,Clear Skin,Green tea,Citrus fruits,Sleep 7–8 hours,,,https://tse2.mm.bing.net/th?q=Fish%20Curry%20food&w=400&h=400&c=7
Weight Gain,Vegetarian,Gym,Day 2,Breakfast,Veg Khichdi,662,35.8,56.7,12.1,Strength Training,Weight Gain focused training,Anti-Aging,Beetroot juice,Fruits & vegetables,Drink 2–3L water daily,,,https://tse2.mm.bing.net/th?q=Veg%20Khichdi%20food&w=400&h=400&c=7
Weight Loss,Non-Vegetarian,Gym,Day 30,Dinner,Egg Omelette,668,37.5,25.7,28.6,Stretching,Weight Loss focused training,Clear Skin,Turmeric milk,Fruits & vegetables,Regular exercise & sweating,,,https://tse2.mm.bing.net/th?q=Egg%20Omelette%20food&w=400&h=400&c=7
Weight Loss,Vegan,Hybrid,Day 5,Snack,Tofu Stir Fry,359,23.9,23.5,22.9,HIIT,Weight Loss focused training,Reduce Pimples,Amla juice,Fruits & vegetables,Sleep 7–8 hours,,,https://tse2.mm.bing.net/th?q=Tofu%20Stir%20Fry%20food&w=400&h=400&c=7
Weight Maintain,Non-Vegetarian,Gym,Day 8,Dinner,Grilled Chicken Salad,572,10.3,64.7,14.5,Yoga,Weight Maintain focused training,Hair Growth,Warm lemon water,Citrus fruits,Regular exercise & sweating,,,https://tse2.mm.bing.net/th?q=Grilled%20Chicken%20Salad%20food&w=400&h=400&c=7
Weight Maintain,Vegetarian,Hybrid,Day 11,Lunch,Veg Khichdi,422,29.1,84.2,8.4,Strength Training,Weight Maintain focused training,Anti-Aging,Warm lemon water,Omega-3 rich foods,Daily face cleansing,,,https://tse2.mm.bing.net/th?q=Veg%20Khichdi%20food&w=400&h=400&c=7
