recipe_id,recipe_name,ingredients,steps,cuisine,diet_type,calories,protein_g,fat_g,carbs_g,url
1,Grilled Chicken & Veg Bowl,"chicken breast, broccoli, olive oil, garlic, brown rice, lemon",Season chicken with garlic and lemon. Grill until cooked. Steam broccoli. Serve over warm brown rice and drizzle with olive oil.,American,weight_loss,630,43.7,22.8,62.5,https://tse2.mm.bing.net/th?q=Grilled%20Chicken%20%26%20Veg%20Bowl%20food&w=400&h=400&c=7
2,Mediterranean Chickpea Salad,"chickpeas, cucumber, tomato, parsley, lemon juice, olive oil","Rinse chickpeas, chop vegetables, mix together, and toss with lemon juice and olive oil.",Mediterranean,maintenance,562,21,26,61,https://tse2.mm.bing.net/th?q=Mediterranean%20Chickpea%20Salad%20food&w=400&h=400&c=7
3,Tofu Stir-Fry with Veggies,"tofu, bell pepper, broccoli, soy sauce, ginger, sesame oil",Sauté tofu until golden. Add chopped veggies and stir-fry with soy sauce and ginger. Finish with sesame oil.,Asian,weight_loss,496,28,24.7,40.5,https://tse2.mm.bing.net/th?q=Tofu%20Stir%20Fry%20with%20Veggies%20food&w=400&h=400&c=7
4,Salmon & Quinoa Plate,"salmon fillet, quinoa, spinach, olive oil, lemon",Bake salmon with lemon. Cook quinoa. Wilt spinach in olive oil. Serve together for a balanced meal.,American,weight_gain,763,44.1,36.3,64.9,https://tse2.mm.bing.net/th?q=Salmon%20%26%20Quinoa%20Plate%20food&w=400&h=400&c=7
5,Oats & Berry Breakfast Bowl,"rolled oats, blueberries, almond milk, chia seeds",Simmer oats in almond milk. Top with blueberries and chia seeds.,Global,maintenance,791,25,27,112,https://tse2.mm.bing.net/th?q=Oats%20%26%20Berry%20Breakfast%20Bowl%20food&w=400&h=400&c=7
6,Black Bean with Potato & Mixed salad greens,"black beans, potato, mixed salad greens, nuts",Prepare the black beans. Cook potato as appropriate. Combine with mixed salad greens and nuts. Season to taste and serve.,Indian,weight_loss,706,34.7,24.7,86.2,https://tse2.mm.bing.net/th?q=Black%20Bean%20with%20Potato%20%26%20Mixed%20salad%20greens%20food&w=400&h=400&c=7
7,Tuna with Whole wheat pasta & Spinach,"tuna steak, whole wheat pasta, spinach, lemon, sesame oil","Prepare the tuna steak. Cook whole wheat pasta as appropriate. Combine with spinach and lemon, sesame oil. Season to taste and serve.",Middle Eastern,maintenance,673,50,21,71,https://tse2.mm.bing.net/th?q=Tuna%20with%20Whole%20wheat%20pasta%20%26%20Spinach%20food&w=400&h=400&c=7
8,Salmon with Rolled oats & Asparagus,"salmon fillet, rolled oats, asparagus, zucchini, spinach, lemon, olive oil, banana","Prepare the salmon fillet. Cook rolled oats as appropriate. Combine with asparagus, zucchini, spinach and lemon, olive oil, banana. Season to taste and serve.",Mexican,maintenance,924,39,36,111,https://tse2.mm.bing.net/th?q=Salmon%20with%20Rolled%20oats%20%26%20Asparagus%20food&w=400&h=400&c=7
9,Tuna with Whole wheat pasta & Asparagus,"tuna steak, whole wheat pasta, asparagus, ginger, banana","Prepare the tuna steak. Cook whole wheat pasta as appropriate. Combine with asparagus and ginger, banana. Season to taste and serve.",Indian,maintenance,636,42,8,99,https://tse2.mm.bing.net/th?q=Tuna%20with%20Whole%20wheat%20pasta%20%26%20Asparagus%20food&w=400&h=400&c=7
10,Turkey with Sweet potato & Bell pepper,"turkey mince, sweet potato, bell pepper, asparagus, honey, olive oil","Prepare the turkey mince. Cook sweet potato as appropriate. Combine with bell pepper, asparagus and honey, olive oil. Season to taste and serve.",Mexican,maintenance,745,41,29,80,https://tse2.mm.bing.net/th?q=Turkey%20with%20Sweet%20potato%20%26%20Bell%20pepper%20food&w=400&h=400&c=7
