Day,Goal,Workout_Type,Location,Exercises,Duration_Minutes,Intensity,Calories_Burned,Protein_g,Carbs_g,Fats_g,Total_Calories_Intake,Benefits
Day 9,Weight Gain,HIIT,Home,Moderate HIIT,33,High,297,176,301,62,2688,Conditioning
Day 13,Weight Loss,HIIT,Gym,"Burpees, Jump Squats",32,High,352,129,169,56,1681,Rapid calorie burn
Day 27,Weight Maintain,Yoga,Home,Vinyasa Yoga,54,Low,270,120,210,61,2170,Mobility
Day 15,Weight Loss,HIIT,Gym,"Burpees, Jump Squats",34,Medium,238,143,167,42,1864,Rapid calorie burn
Day 19,Weight Maintain,Cardio,Gym,Jogging,68,Medium,544,138,200,51,2068,Cardio fitness
Day 13,Weight Loss,Cardio,Home,Running / Cycling,60,High,540,126,178,60,1838,"Fat loss, heart health"
Day 20,Weight Gain,Strength Training,Gym,Compound Lifts,51,High,408,180,338,69,2831,Muscle growth
Day 10,Weight Maintain,Yoga,Home,Vinyasa Yoga,43,Medium,301,126,224,56,2184,Mobility
Day 28,Weight Gain,Cardio,Home,Light Cycling,44,High,352,177,287,66,2404,Endurance
Day 4,Weight Maintain,Cardio,Home,Jogging,74,Medium,444,113,229,50,2165,Cardio fitness
Day 2,Weight Loss,Strength Training,Home,Circuit Training,55,Low,220,138,176,40,1839,Muscle tone
Day 20,Weight Loss,Cardio,Gym,Running / Cycling,58,Medium,406,132,167,47,1662,"Fat loss, heart health"
Day 9,Weight Maintain,Cardio,Home,Jogging,56,High,616,121,260,61,2029,Cardio fitness
Day 13,Weight Loss,Yoga,Home,Power Yoga,53,Low,212,148,171,51,1666,Flexibility & metabolism
Day 16,Weight Gain,HIIT,Home,Moderate HIIT,32,Low,160,154,329,61,2866,Conditioning
Day 3,Weight Gain,Strength Training,Gym,Compound Lifts,56,Medium,336,179,304,76,2737,Muscle growth
Day 23,Weight Maintain,HIIT,Gym,Mixed HIIT,36,Low,108,113,240,53,2123,Overall fitness
Day 17,Weight Loss,Cardio,Home,Running / Cycling,69,Medium,345,127,159,52,1829,"Fat loss, heart health"
Day 28,Weight Maintain,Yoga,Gym,Vinyasa Yoga,75,Low,375,138,245,51,2117,Mobility
Day 10,Weight Loss,Yoga,Gym,Power Yoga,49,Low,147,138,149,43,1868,Flexibility & metabolism
Day 3,Weight Maintain,Yoga,Home,Vinyasa Yoga,58,Low,174,112,207,51,2095,Mobility
Day 1,Weight Gain,Cardio,Gym,Light Cycling,70,Low,350,175,305,79,2466,Endurance
Day 20,Weight Gain,Strength Training,Home,Compound Lifts,74,Medium,592,155,331,78,2589,Muscle growth
Day 28,Weight Loss,Yoga,Gym,Power Yoga,48,Low,240,139,142,42,1879,Flexibility & metabolism
Day 20,Weight Maintain,Yoga,Gym,Vinyasa Yoga,35,Low,105,131,211,57,2022,Mobility
Day 1,Weight Loss,Strength Training,Gym,Circuit Training,38,High,380,127,143,47,1893,Muscle tone
Day 1,Weight Gain,Strength Training,Home,Compound Lifts,46,Medium,276,178,326,74,2700,Muscle growth
Day 30,Weight Gain,Yoga,Home,Hatha Yoga,30,Low,150,179,285,66,2926,Recovery
Day 2,Weight Loss,Yoga,Home,Power Yoga,56,Low,280,136,167,52,1799,Flexibility & metabolism
Day 22,Weight Gain,Strength Training,Home,Compound Lifts,58,High,522,152,345,68,2464,Muscle growth
Day 2,Weight Maintain,HIIT,Home,Mixed HIIT,69,High,759,124,258,53,2190,Overall fitness
Day 30,Weight Loss,HIIT,Gym,"Burpees, Jump Squats",55,Low,220,148,131,49,1632,Rapid calorie burn
Day 11,Weight Gain,HIIT,Home,Moderate HIIT,57,Medium,456,176,345,60,2749,Conditioning
Day 18,Weight Maintain,Yoga,Gym,Vinyasa Yoga,63,Low,252,137,236,56,2093,Mobility
Day 29,Weight Gain,Yoga,Gym,Hatha Yoga,49,Low,196,157,295,67,2541,Recovery
Day 28,Weight Maintain,Cardio,Gym,Jogging,57,Low,285,120,211,51,2186,Cardio fitness
Day 10,Weight Maintain,Yoga,Home,Vinyasa Yoga,52,Medium,260,120,255,55,2043,Mobility
Day 13,Weight Loss,Cardio,Home,Running / Cycling,30,High,360,141,134,49,1749,"Fat loss, heart health"
Day 3,Weight Gain,HIIT,Home,Moderate HIIT,72,Low,216,174,330,67,2618,Conditioning
Day 15,Weight Gain,Yoga,Gym,Hatha Yoga,61,Medium,366,153,343,67,2451,Recovery
Day 24,Weight Gain,Yoga,Gym,Hatha Yoga,58,High,696,151,330,74,2491,Recovery
Day 22,Weight Maintain,Cardio,Home,Jogging,60,High,480,130,228,50,2171,Cardio fitness
Day 24,Weight Loss,Yoga,Gym,Power Yoga,39,Medium,195,143,154,52,1708,Flexibility & metabolism
Day 17,Weight Maintain,HIIT,Home,Mixed HIIT,37,Low,185,116,237,61,2017,Overall fitness
Day 29,Weight Loss,Yoga,Home,Power Yoga,70,High,560,141,145,58,1792,Flexibility & metabolism
Day 14,Weight Loss,Cardio,Home,Running / Cycling,38,High,418,124,165,44,1808,"Fat loss, heart health"
Day 1,Weight Maintain,HIIT,Gym,Mixed HIIT,50,High,450,136,248,55,2118,Overall fitness
Day 7,Weight Maintain,Strength Training,Home,Split Workout,67,Medium,402,117,203,56,2199,Strength balance
Day 29,Weight Maintain,HIIT,Home,Mixed HIIT,64,Low,320,132,245,63,2014,Overall fitness
Day 6,Weight Loss,Cardio,Home,Running / Cycling,52,Low,156,147,134,44,1608,"Fat loss, heart health"
Day 10,Weight Gain,HIIT,Gym,Moderate HIIT,56,High,672,160,311,74,2500,Conditioning
Day 26,Weight Maintain,Yoga,Gym,Vinyasa Yoga,63,Low,189,123,232,57,2080,Mobility
Day 23,Weight Maintain,Strength Training,Gym,Split Workout,73,High,657,113,241,56,2040,Strength balance
Day 2,Weight Loss,Yoga,Home,Power Yoga,48,Low,192,146,153,48,1894,Flexibility & metabolism
Day 29,Weight Maintain,Cardio,Home,Jogging,51,Medium,357,137,241,54,2037,Cardio fitness
Day 25,Weight Gain,Yoga,Home,Hatha Yoga,38,High,304,141,319,73,2967,Recovery
Day 18,Weight Loss,Cardio,Home,Running / Cycling,51,Medium,306,132,142,54,1830,"Fat loss, heart health"
Day 15,Weight Maintain,Strength Training,Home,Split Workout,69,Medium,414,123,247,54,2014,Strength balance
Day 2,Weight Maintain,Strength Training,Gym,Split Workout,59,Medium,295,115,205,55,2067,Strength balance
Day 27,Weight Loss,HIIT,Home,"Burpees, Jump Squats",67,Medium,402,148,178,46,1761,Rapid calorie burn
Day 12,Weight Gain,Cardio,Home,Light Cycling,64,High,512,143,328,73,2656,Endurance
Day 23,Weight Gain,Cardio,Gym,Light Cycling,66,High,660,179,335,74,2768,Endurance
Day 13,Weight Loss,HIIT,Home,"Burpees, Jump Squats",37,High,370,147,162,46,1865,Rapid calorie burn
Day 30,Weight Maintain,Yoga,Home,Vinyasa Yoga,40,Low,160,113,260,52,2009,Mobility
Day 12,Weight Loss,Yoga,Home,Power Yoga,36,Low,108,143,131,41,1628,Flexibility & metabolism
Day 22,Weight Maintain,Yoga,Home,Vinyasa Yoga,43,Medium,215,134,200,65,2008,Mobility
Day 17,Weight Maintain,HIIT,Home,Mixed HIIT,32,Low,128,129,214,62,2089,Overall fitness
Day 2,Weight Maintain,Yoga,Gym,Vinyasa Yoga,57,High,456,113,228,64,2196,Mobility
Day 16,Weight Gain,HIIT,Home,Moderate HIIT,33,Low,132,168,340,75,2482,Conditioning
Day 23,Weight Loss,Cardio,Home,Running / Cycling,59,High,590,132,138,41,1618,"Fat loss, heart health"
Day 14,Weight Loss,Cardio,Gym,Running / Cycling,49,High,588,126,153,42,1622,"Fat loss, heart health"
Day 25,Weight Loss,Strength Training,Home,Circuit Training,62,High,496,129,132,47,1669,Muscle tone
Day 26,Weight Gain,Strength Training,Home,Compound Lifts,35,Medium,245,145,325,69,2635,Muscle growth
Day 5,Weight Gain,Yoga,Gym,Hatha Yoga,73,Low,219,153,290,68,2891,Recovery
Day 12,Weight Loss,Strength Training,Gym,Circuit Training,58,Low,232,130,149,50,1886,Muscle tone
Day 12,Weight Gain,HIIT,Home,Moderate HIIT,68,Medium,340,147,327,64,2716,Conditioning
